matchday,date,time,home_team,away_team,result,status
,03/03/2026,19:00,Independiente Petrolero,CD Guabirá,3-2,Final
,03/03/2026,21:00,Montevideo City Torque,Defensor Sporting,1-0,Final
,04/03/2026,17:00,Cobresal,Audax Italiano,2-3,Final
,04/03/2026,17:00,Academia Puerto Cabello,Monagas,5-3,Final
,04/03/2026,19:30,Alianza Atlético,Deportivo Garcilaso,2-0,Final
,04/03/2026,19:00,Blooming,San Antonio Bulo Bulo,3-0,Final
,04/03/2026,19:00,Caracas FC,Metropolitanos FC,4-3,Final
,05/03/2026,19:00,Universidad de Chile,Palestino,1-2,Final
,05/03/2026,19:00,Atlético Nacional,Millonarios,1-3,Final
,05/03/2026,19:00,Sportivo Trinidense,Club Olimpia,0-1,Final
,05/03/2026,19:00,Deportivo Cuenca,Libertad de Loja,3-0,Final
,05/03/2026,19:00,Club Nacional,Deportivo Recoleta,4-5,Final
,05/03/2026,19:00,Boston River,Racing,1-0,Final
,06/03/2026,19:00,América de Cali,Atlético Bucaramanga,2-1,Final
,06/03/2026,19:00,Cienciano,FBC Melgar,5-4,Final
,06/03/2026,19:00,Orense SC,Macará,0-1,Final
,08/04/2026,19:00,Alianza Atlético,Tigre,1-1,Final
,08/04/2026,19:30,O'Higgins,Millonarios,2-0,Final
,08/04/2026,19:30,Boston River,São Paulo FC,0-1,Final
,08/04/2026,17:00,Independiente Petrolero,Racing Club,1-3,Final
,08/04/2026,19:30,Barracas Central,Vasco da Gama - RJ,0-0,Final
,09/04/2026,21:00,Academia Puerto Cabello,Atlético Mineiro,2-1,Final
,09/04/2026,19:00,Deportivo Recoleta,San Lorenzo,1-1,Final
,09/04/2026,17:00,Deportivo Cuenca,Santos FC,1-0,Final
,09/04/2026,15:00,Deportivo Riestra,Palestino,0-0,Final
,09/04/2026,19:00,Montevideo City Torque,Grêmio Porto Alegre,1-0,Final
,09/04/2026,17:00,Audax Italiano,Club Olimpia,0-2,Final
,09/04/2026,21:00,Blooming,River Plate,1-1,Final
,10/04/2026,19:00,Macará,América de Cali,1-1,Final
,10/04/2026,19:30,Juventud de Las Piedras,Cienciano,1-1,Final
,10/04/2026,17:00,Botafogo - RJ,Caracas FC,1-1,Final
,10/04/2026,17:00,Carabobo FC,Red Bull Bragantino,1-0,Final
,15/04/2026,19:00,São Paulo FC,O'Higgins,2-0,Final
,15/04/2026,19:30,Santos FC,Deportivo Recoleta,1-1,Final
,15/04/2026,17:00,Grêmio Porto Alegre,Deportivo Riestra,1-0,Final
,15/04/2026,19:30,Palestino,Montevideo City Torque,0-2,Final
,15/04/2026,17:00,Vasco da Gama - RJ,Audax Italiano,1-2,Final
,16/04/2026,19:00,América de Cali,Alianza Atlético,2-1,Final
,16/04/2026,19:00,Millonarios,Boston River,1-0,Final
,16/04/2026,21:00,Caracas FC,Independiente Petrolero,1-0,Final
,16/04/2026,19:30,Racing Club,Botafogo - RJ,2-3,Final
,16/04/2026,17:00,Club Olimpia,Barracas Central,0-0,Final
,16/04/2026,19:30,River Plate,Carabobo FC,1-0,Final
,17/04/2026,19:00,Tigre,Macará,0-1,Final
,17/04/2026,17:00,Atlético Mineiro,Juventud de Las Piedras,2-1,Final
,17/04/2026,17:00,Cienciano,Academia Puerto Cabello,2-0,Final
,17/04/2026,17:00,San Lorenzo,Deportivo Cuenca,2-0,Final
,17/04/2026,17:00,Red Bull Bragantino,Blooming,3-2,Final
,29/04/2026,19:00,Millonarios,São Paulo FC,,
,29/04/2026,19:00,O'Higgins,Boston River,,
,29/04/2026,19:30,San Lorenzo,Santos FC,,
,29/04/2026,19:00,Deportivo Recoleta,Deportivo Cuenca,,
,29/04/2026,19:30,Botafogo - RJ,Independiente Petrolero,,
,29/04/2026,17:00,Barracas Central,Audax Italiano,,
,30/04/2026,19:00,Juventud de Las Piedras,Academia Puerto Cabello,,
,30/04/2026,19:00,Cienciano,Atlético Mineiro,,
,30/04/2026,21:00,Caracas FC,Racing Club,,
,30/04/2026,21:00,Deportivo Riestra,Montevideo City Torque,,
,30/04/2026,17:00,Palestino,Grêmio Porto Alegre,,
,01/05/2026,19:00,Tigre,América de Cali,,
,01/05/2026,17:00,Alianza Atlético,Macará,,
,01/05/2026,17:00,Vasco da Gama - RJ,Club Olimpia,,
,01/05/2026,19:00,Carabobo FC,Blooming,,
,01/05/2026,19:30,Red Bull Bragantino,River Plate,,
,06/05/2026,19:00,Juventud de Las Piedras,Atlético Mineiro,,
,06/05/2026,19:00,Academia Puerto Cabello,Cienciano,,
,06/05/2026,21:00,Deportivo Recoleta,Santos FC,,
,06/05/2026,21:00,Deportivo Cuenca,San Lorenzo,,
,06/05/2026,19:30,Independiente Petrolero,Caracas FC,,
,06/05/2026,17:00,Deportivo Riestra,Grêmio Porto Alegre,,
,07/05/2026,19:30,Macará,Tigre,,
,07/05/2026,19:30,Alianza Atlético,América de Cali,,
,07/05/2026,21:00,Botafogo - RJ,Racing Club,,
,07/05/2026,19:00,Montevideo City Torque,Palestino,,
,07/05/2026,17:00,Audax Italiano,Vasco da Gama - RJ,,
,07/05/2026,19:30,Barracas Central,Club Olimpia,,
,08/05/2026,19:00,Boston River,Millonarios,,
,08/05/2026,19:00,O'Higgins,São Paulo FC,,
,08/05/2026,19:30,Blooming,Red Bull Bragantino,,
,08/05/2026,17:00,Carabobo FC,River Plate,,
,20/05/2026,21:00,América de Cali,Tigre,,
,20/05/2026,19:00,São Paulo FC,Millonarios,,
,20/05/2026,17:00,Deportivo Cuenca,Deportivo Recoleta,,
,20/05/2026,19:30,Montevideo City Torque,Deportivo Riestra,,
,20/05/2026,19:30,Audax Italiano,Barracas Central,,
,21/05/2026,19:00,Boston River,O'Higgins,,
,21/05/2026,17:00,Santos FC,San Lorenzo,,
,21/05/2026,17:00,Independiente Petrolero,Botafogo - RJ,,
,21/05/2026,17:00,Grêmio Porto Alegre,Palestino,,
,21/05/2026,19:30,Club Olimpia,Vasco da Gama - RJ,,
,21/05/2026,19:30,River Plate,Red Bull Bragantino,,
,22/05/2026,17:00,Macará,Alianza Atlético,,
,22/05/2026,19:00,Atlético Mineiro,Cienciano,,
,22/05/2026,19:00,Academia Puerto Cabello,Juventud de Las Piedras,,
,22/05/2026,17:00,Racing Club,Caracas FC,,
,22/05/2026,17:00,Blooming,Carabobo FC,,
,27/05/2026,19:00,Millonarios,O'Higgins,,
,27/05/2026,19:00,São Paulo FC,Boston River,,
,27/05/2026,19:00,San Lorenzo,Deportivo Recoleta,,
,27/05/2026,19:30,Santos FC,Deportivo Cuenca,,
,27/05/2026,17:00,Palestino,Deportivo Riestra,,
,27/05/2026,19:30,Grêmio Porto Alegre,Montevideo City Torque,,
,28/05/2026,17:00,Cienciano,Juventud de Las Piedras,,
,28/05/2026,17:00,Atlético Mineiro,Academia Puerto Cabello,,
,28/05/2026,17:00,Racing Club,Independiente Petrolero,,
,28/05/2026,17:00,Caracas FC,Botafogo - RJ,,
,28/05/2026,19:30,Vasco da Gama - RJ,Barracas Central,,
,28/05/2026,19:30,Club Olimpia,Audax Italiano,,
,28/05/2026,17:00,Red Bull Bragantino,Carabobo FC,,
,28/05/2026,19:30,River Plate,Blooming,,
,29/05/2026,17:00,Tigre,Alianza Atlético,,
,29/05/2026,19:00,América de Cali,Macará,,
